"simRun","year","scenario","meanGV","varGV","varGxE","h2","H2","accSDN","accCET","accPYT","accAYT","accUYT","nParCET","nParPYT","nParAYT","nParUYT"
1,-19,"Conv",0.223645423230258,1.09461206719005,0,0,0,0,0,0,0,0,0,0,0,0
1,-18,"Conv",0.250189637784263,1.08612243353506,0,0,0,0,0,0,0,0,0,0,0,0
1,-17,"Conv",1.93103473039289,0.844680936432945,0,0,0,0,0,0,0,0,0,0,0,0
1,-16,"Conv",2.1174852323059,0.890171449597968,0,0,0,0,0,0,0,0,0,0,0,0
1,-15,"Conv",2.30842812071806,0.845552542543615,0,0,0,0,0,0,0,0,0,0,0,0
1,-14,"Conv",2.38229762483377,0.792784023497004,0,0,0,0,0,0,0,0,0,0,0,0
1,-13,"Conv",2.38032647086723,0.83312202204726,0,0,0,0,0,0,0,0,0,0,0,0
1,-12,"Conv",3.42790967074704,0.80947439234124,0,0,0,0,0,0,0,0,0,0,0,0
1,-11,"Conv",3.73891105627216,0.701506935230848,0,0,0,0,0,0,0,0,0,0,0,0
1,-10,"Conv",3.77172238180834,0.66296460475114,0,0,0,0,0,0,0,0,0,0,0,0
1,-9,"Conv",3.94769976961822,0.699215768782772,0,0,0,0,0,0,0,0,0,0,0,0
1,-8,"Conv",3.94185990095412,0.705481942955962,0,0,0,0,0,0,0,0,0,0,0,0
1,-7,"Conv",4.81232282416969,0.738946763388116,0,0,0,0,0,0,0,0,0,0,0,0
1,-6,"Conv",5.18810096791453,0.670454916068659,0,0,0,0,0,0,0,0,0,0,0,0
1,-5,"Conv",5.38884587478543,0.676994149592869,0,0,0,0,0,0,0,0,0,0,0,0
1,-4,"Conv",5.49800763264669,0.774860636637197,0,0,0,0,0,0,0,0,0,0,0,0
1,-3,"Conv",5.64327793325155,0.74145206023073,0,0,0,0,0,0,0,0,0,0,0,0
1,-2,"Conv",6.06738958918121,0.674171703108046,0,0,0,0,0,0,0,0,0,0,0,0
1,-1,"Conv",6.6752168609976,0.607290398745986,0,0,0,0,0,0,0,0,0,0,0,0
1,0,"Conv",6.70196721110331,0.62986792226155,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"Conv",6.69829944209516,0.672798448292063,0,NA,0.2402643021727,0.192242061710803,0.362371273597566,0.589188837272448,0.837259797865432,0.779445083381674,NA,NA,20,5
1,2,"Conv",7.0344760468293,0.716495004298596,0,NA,0.327351430503943,0.195085804524036,0.364509363433,0.677127204703512,0.756259274965676,0.923534195731606,NA,NA,16,9
1,3,"Conv",7.49027561929629,0.710338567004512,0,NA,0.346088858775968,0.176107803701521,0.355775277731313,0.50591620030687,0.857232346305219,0.832480692749152,NA,NA,19,6
1,4,"Conv",7.82271063186303,0.52061469456342,0,NA,0.351046996565426,0.169420655639617,0.377154851510399,0.643892398444295,0.847744515001632,0.831431684084868,NA,NA,14,11
1,5,"Conv",8.14913689911875,0.585913677086455,0,NA,0.341186645844783,0.182037086063545,0.326802275015126,0.653890390402611,0.875741685433864,0.87430980467905,NA,NA,20,5
1,6,"Conv",8.36592024133897,0.604141048794716,0,NA,0.318177470003812,0.183720765334429,0.36073375881791,0.60403667775409,0.825544434280304,0.886744208049052,NA,NA,14,11
1,7,"Conv",8.56970568035713,0.538964195178625,0,NA,0.313109238806856,0.182708479583582,0.375909583776302,0.52907454034373,0.844603393179428,0.845816461501894,NA,NA,16,9
